input,output,instruction
What are the symptoms of Chiggers?,"The main symptoms are:
Severe itching Red pimple-like bumps or hives
Itching usually occurs several hours after the chiggers attach to the skin.
A skin rash may appear on the parts of the body that were exposed to the sun. It may stop where the underwear meets the legs. This is often a clue that the rash is due to chigger bites.",Answer this question truthfully
What causes Ebola?,"Ebola hemorrhagic fever (Ebola fever) is caused by a virus belonging to the family called Filoviridae. Scientists have identified four types of the Ebola virus. Three have been reported to cause disease in humans: Ebola-Zaire virus, Ebola-Sudan virus, and Ebola-Ivory Coast virus. The human disease has so far been limited to parts of Africa. A very small number of people in the United States, who were infected with the fourth type of the virus, known as Ebola Reston, did not develop any signs of disease. The disease can be passed to humans from infected animals and animal materials. Ebola can also be spread between humans, by close contact with infected bodily fluids, or through infected needles at the hospital. A person infected with Ebola is contagious from the moment he/she begins to show symptoms.",Answer this question truthfully
What causes gangrene?,Wound constriction that is followed by hemorrhage. Body part compression. Necrosis due to bandages.,Answer this question truthfully
Who is at highest risk for Pinguecula ?,"People who are exposed to a great deal of sunlight (and consequently UV light), who live in tropical climates, and who suffer from eye irritation are at an increased risk of pinguecula. Certain occupations that may potentially damage the eyes, such as welding, also increase the risk.",Answer this question truthfully
What to expect if I have Encopresis  (Outlook/Prognosis)?,Most children respond to treatment.,Answer this question truthfully
What are the symptoms of Neonatal sepsis?,"Infants with neonatal sepsis may have the following symptoms:
Body temperature changes Breathing problems Diarrhea Low blood sugar Reduced movements Reduced sucking Seizures Slow heart rate Swollen belly area Vomiting Yellow skin and whites of the eyes (jaundice)",Answer this question truthfully
When to seek urgent medical care when I have Child sexual abuse ?,"If you suspect child abuse in any form, immediately call your health care provider, Child Protective Services, or police.",Answer this question truthfully
What to expect if I have Antisocial personality disorder  (Outlook/Prognosis)?,Symptoms tend to peak during the late teenage years and early 20s. They sometimes improve on their own by a person's 40s.,Answer this question truthfully
Who is at highest risk for Polio ?,"Person's at higher risk include those who:
Lack immunization against polio and are exposed to the virus Travel to an area that has experienced a polio outbreak
In areas where there is an outbreak, those most likely to get the disease include children, pregnant women, and the elderly. The disease is more common in the summer and fall. Between 1840 and the 1950s, polio was a worldwide epidemic. Since the development of polio vaccines, the incidence of the disease has been greatly reduced. Polio has been wiped out in a number of countries. There have been very few cases of polio in the Western hemisphere since the late 1970s. Children in the United States are now routinely vaccinated against the disease. Outbreaks still occur in the developed world, usually in groups of people who have not been vaccinated. Polio often occurs after someone travels to a region where the disease is common. Thanks to a massive, global, vaccination campaign over the past 20 years, polio exists only in a few countries in Africa and Asia.",Answer this question truthfully
Is the H1N1 swine flu virus the same as human H1N1 viruses?,"No. The H1N1 swine flu viruses are antigenically very different from human H1N1 viruses and, therefore, vaccines for human seasonal flu would not provide protection from H1N1 swine flu viruses.",Answer this question truthfully
What are the symptoms of Glossopharyngeal neuralgia?,"Symptoms include severe pain in areas connected to the ninth cranial nerve:
Back of the nose and throat (nasopharynx) Back of the tongue Ear Throat Tonsil area Voice box (larynx)
The pain occurs in episodes and may be severe. It is usually on one side, and feels jabbing. The episodes can occur many times each day, and awaken the person from sleep.
It can sometimes be triggered by:
Chewing Coughing Laughing Speaking Swallowing",Answer this question truthfully
What causes Dengue fever?,"Dengue fever is caused by one of four different but related viruses. It is spread by the bite of mosquitoes, most commonly the mosquito Aedes aegypti, which is found in tropic and subtropic regions. This includes parts of:
Indonesian archipelago into northeastern Australia South and Central America Southeast Asia Sub-Saharan Africa
Dengue fever is being seen more in world travelers.
Dengue fever should not be confused with dengue hemorrhagic fever, which is a separate disease that is caused by the same type of virus but has much more severe symptoms.",Answer this question truthfully
