input,Correct Answer,Correct Option,source
"A 37-year-old woman comes to the physician because of a 1-day history of throbbing facial pain. She describes the pain as 7 out of 10 in intensity. Over the past 9 days, she has had nasal congestion, purulent nasal discharge, sore throat, and a nonproductive cough. She does not smoke. Her husband and children have had no recent illness. Her temperature is 38.5°C (101.3°F). Examination shows congested nasal mucosa and purulent discharge on the left. There is tenderness to palpation over the left cheek and no transillumination over the left maxillary sinus. The tympanic membranes are normal, and there is no erythema of the throat. Examination shows no cervical adenopathy. The lungs are clear to auscultation. Which of the following is the most likely causal organism?

A. Haemophilus influenzae type b
B. Moraxella catarrhalis
C. Staphylococcus aureus
D. Streptococcus pneumoniae",Streptococcus pneumoniae,D,Professional Medicine
"How many chromosomes do all human somatic cells contain?

A. 3
B. 20
C. 23
D. 46",46,D,Clinical Knowledge
"Which of these branches of the trigeminal nerve contain somatic motor processes?

A. The supraorbital nerve
B. The infraorbital nerve
C. The mental nerve
D. None of the above",None of the above,D,Anatomy
"During exercise, adrenaline secretion from the adrenal glands is stimulated by:

A. increased plasma glucose.
B. increased plasma fatty acids.
C. increased plasma ACTH.
D. increased sympathetic nerve activity.",increased sympathetic nerve activity.,D,Clinical Knowledge
"Which cells in the blood do not have a nucleus?

A. Lymphocyte
B. Monocyte
C. Erythrocyte
D. Basophil",Erythrocyte,C,Anatomy
"The most rapid method to resynthesize ATP during exercise is through:

A. glycolysis.
B. phosphocreatine breakdown.
C. tricarboxylic acid cycle (Krebs' cycle).
D. glycogenolysis.",phosphocreatine breakdown.,B,Clinical Knowledge
"Which of the following is not associated with an increase in the work of breathing?

A. Rise in respiratory rate.
B. Noisy breathing.
C. Increase in the use of accessory muscles.
D. A respiratory rate of 16 breaths per minute.",A respiratory rate of 16 breaths per minute.,D,Clinical Knowledge
"Why would you need to carry out a bladder washout for a patient at home?

A. When their urine is clear.
B. When the catheter is blocked.
C. When the catheter is bypassing.
D. When the catheter is dirty.",When the catheter is blocked.,B,Clinical Knowledge
"A 68-year-old man is in the hospital because he requires mechanical ventilation for an exacerbation of chronic obstructive pulmonary disease. On the second day after admission he developed a pneumothorax on the right side that required tube thoracostomy. An air leak is noted for the next 24 hours, which now has stopped. However, the patient has become restless and combative. Breath sounds are diminished in the right side of the chest and the patient now has tachycardia. Blood pressure is 130/80 mm Hg. After ordering a STAT portable x-ray of the chest, which of the following is the most appropriate step?

A. Administer β-blocking medications
B. Administer alprazolam
C. Remove the patient from the ventilator and ventilate him with a bag-valve mask
D. Reposition the chest tube",Reposition the chest tube,D,Professional Medicine
"A 14-year-old boy is brought to the physician because of a 2-day history of a sore throat and fever that peaks in the late afternoon. He also has a 1-week history of progressive fatigue. He recently began having unprotected sexual intercourse with one partner. He appears ill. His temperature is 39°C (102.2°F). Physical examination shows cervical lymphadenopathy and pharyngeal erythema with a creamy exudate. Which of the following is the most likely diagnosis?

A. Candidiasis
B. Herpangina
C. Infectious mononucleosis
D. Mumps",Infectious mononucleosis,C,Professional Medicine
"Which of the following is the master gland of the endocrine system?

A. Adrenal
B. Pancreas
C. Pineal
D. Pituitary",Pituitary,D,Anatomy
"Which of the following is true about abdominal pain?

A. Peptic ulcer pain is usually experienced in the hypogastrium
B. The pain of irritable bowel syndrome is usually well localised
C. The pain of oesophagitis is usually retrosternal in site
D. The pain of pancreatitis usually radiates to the groin",The pain of oesophagitis is usually retrosternal in site,C,Clinical Knowledge
"Between contractions of the left ventricle the blood continues to flow through the vessels because:

A. the atria are contracting.
B. the vessels are contracted.
C. the right ventricle is relaxed.
D. the arteries have elastic recoil.",the arteries have elastic recoil.,D,Clinical Knowledge
"A previously healthy 27-year-old nulligravid woman comes to the emergency department because of a 2-day history of moderate-to-severe pain and swelling of the left labia. She is sexually active and uses condoms inconsistently. Her temperature is 37.2°C (99°F), pulse is 92/min, respirations are 18/min, and blood pressure is 115/75 mm Hg. Pelvic examination shows a 4 x 3-cm, tender, fluctuant mass medial to the left labium majus compromising the introital opening. Which of the following is the most appropriate next step in management?

A. Administration of intravenous metronidazole
B. Administration of intravenous penicillin G
C. Ultrasound-guided needle aspiration of the mass
D. Incision and drainage",Incision and drainage,D,Professional Medicine
"A 9-year-old boy is brought to the office by his parents for a well-child examination. The patient and his family immigrated to the United States 2 months ago and he has not been evaluated by a physician in 4 years. He has been generally healthy. Medical history is significant for pneumonia at age 3 years. He takes no medications. He is at the 25th percentile for height, weight, and BMI. Vital signs are temperature 37.0°C (98.6°F), pulse 82/min, respirations 20/min, and blood pressure 112/74 mm Hg. Cardiac examination discloses a grade 3/6 systolic murmur audible along the left sternal border at the third and fourth intercostal spaces. Femoral pulses are weak and brachial pulses are strong; there is a radiofemoral delay. Chest xray discloses mild cardiomegaly with left ventricular prominence. ECG shows left ventricular hypertrophy. This patient is at greatest risk for which of the following complications?

A. Atrial fibrillation
B. Cor pulmonale
C. Systemic hypertension
D. Tricuspid valve regurgitation",Systemic hypertension,C,Professional Medicine
"A study is conducted to assess the effectiveness of a new drug for the treatment of type 2 diabetes mellitus. A total of 1000 patients with type 2 diabetes mellitus are enrolled. Patients are randomly assigned to receive the new drug or standard treatment. The alpha and beta values for calculating probability are 0.05 and 0.20, respectively. Results show that the new drug is significantly better than standard treatment. If this study had been performed in a population of only 500 patients, which of the following would have been most likely to increase?

A. Chance of a type I error
B. Chance of a type II error
C. Power of the study
D. Sensitivity of the study",Chance of a type II error,B,Professional Medicine
"A 42-year-old man comes to the physician because of malaise, muscle and joint pain, and temperatures to 38.4°C (101.1°F) for 3 days. Three months ago, he underwent cadaveric renal transplantation resulting in immediate kidney function. At the time of discharge, his serum creatinine concentration was 0.8 mg/dL. He is receiving cyclosporine and corticosteroids. Examination shows no abnormalities. His leukocyte count is 2700/mm3 , and serum creatinine concentration is 1.6 mg/dL; serum cyclosporine concentration is in the therapeutic range. A biopsy of the transplanted kidney shows intracellular inclusion bodies. Which of the following is the most appropriate next step in management?

A. Increase the dosage of corticosteroids
B. Increase the dosage of cyclosporine
C. Begin amphotericin therapy
D. Begin ganciclovir therapy",Begin ganciclovir therapy,D,Professional Medicine
